# sha1,mapper,basic_or_none,font  basic+e=VG8020 basic+j=HB-10 none+e=C-BIOS none+j=C-BIOS JP
ef3e010eb57e4476700a3bbff9d2119ab3acdf62,NONE,none,e
f078b5ec56884bfb81481d45c7151418770bff5a,NONE,none,e
f0be97ceca47b65b46c9518e6157b295f8c99c38,KONAMI_SCC,none,e
f1525de4e0b60a6687156c2a96f8a8b2044b6c56,NONE,none,e
f29cac37c5001ddc752ff4a0b9cc51a965906da8,MIRRORED,basic,j
f38ce627dcdfad39c892cc8125a0b3b2106775e9,NONE,none,e
f3dd979706fa466e2a34bbb8729cf1bc7c298864,NONE,none,e
f4433752d3bf876bfefb363c749d4d2e08a218b6,NONE,none,e
f59d33311c95edc0168445f74eddd8a6772aa6a0,NONE,none,e
f5af1d2a8bcf247f78847e1a9d995e581df87e8e,NONE,none,e
f5eb0a396097572589f2a6efeed045044e9425e4,NONE,none,e
